,date,value_in_usd,year,month,day,%-change,not_taxed_investment,not_taxed_change,taxed_profit,taxed_losses,reinvestment,transaction_cost,remaining_tax_free_capital_gain,realized_tax_free_capital_gain
0,1988-01-29,100,1988,1,29,0.0,0.0,0.0,22.0,0.0,0.0,0.0,,
1,1988-02-29,101,1988,2,29,1.0000000000000009,0.0,0.0,19.801980198019805,0.0,0.0,0.0,,
2,1988-03-31,102,1988,3,31,0.990099009900991,0.0,0.0,17.64705882352942,0.0,0.0,0.0,,
3,1988-04-29,103,1988,4,29,0.9803921568627416,0.0,0.0,15.533980582524265,0.0,0.0,0.0,,
4,1988-05-31,104,1988,5,31,0.9708737864077666,0.0,0.0,13.461538461538453,0.0,0.0,0.0,,
5,1988-06-30,105,1988,6,30,0.9615384615384581,0.0,0.0,11.428571428571416,0.0,0.0,0.0,,
6,1988-07-29,106,1988,7,29,0.952380952380949,0.0,0.0,9.43396226415095,0.0,0.0,0.0,,
7,1988-08-31,107,1988,8,31,0.9433962264151052,0.0,0.0,7.476635514018682,0.0,0.0,0.0,,
8,1988-09-30,108,1988,9,30,0.9345794392523255,0.0,0.0,5.555555555555543,0.0,0.0,0.0,,
9,1988-10-31,109,1988,10,31,0.92592592592593,0.0,0.0,3.6697247706422047,0.0,0.0,0.0,,
10,1988-11-30,110,1988,11,30,0.917431192660545,0.0,0.0,1.818181818181813,0.0,0.0,0.0,,
11,1988-12-30,111,1988,12,30,0.9090909090909038,0.0,0.0,270.7620451375751,0.0,2327.83,23.27827189416733,673.172811,127.82718941673261
12,1989-01-31,112,1989,1,31,0.9009009009008917,0.0,0.0,19.64285714285714,0.0,0.0,0.0,,
13,1989-02-28,113,1989,2,28,0.8928571428571397,0.0,0.0,17.699115044247776,0.0,0.0,0.0,,
14,1989-03-31,114,1989,3,31,0.8849557522123908,0.0,0.0,15.78947368421052,0.0,0.0,0.0,,
15,1989-04-28,115,1989,4,28,0.8771929824561431,0.0,0.0,13.913043478260875,0.0,0.0,0.0,,
16,1989-05-31,116,1989,5,31,0.8695652173912993,0.0,0.0,12.068965517241367,0.0,0.0,0.0,,
17,1989-06-30,117,1989,6,30,0.8620689655172376,0.0,0.0,10.256410256410248,0.0,0.0,0.0,,
18,1989-07-31,118,1989,7,31,0.8547008547008517,0.0,0.0,8.474576271186436,0.0,0.0,0.0,,
19,1989-08-31,119,1989,8,31,0.8474576271186418,0.0,0.0,6.722689075630257,0.0,0.0,0.0,,
20,1989-09-29,120,1989,9,29,0.8403361344537785,0.0,0.0,5.0,0.0,0.0,0.0,,
21,1989-10-31,121,1989,10,31,0.8333333333333304,0.0,0.0,3.305785123966956,0.0,0.0,0.0,,
22,1989-11-30,122,1989,11,30,0.8264462809917328,0.0,0.0,1.639344262295083,0.0,0.0,0.0,,
23,1989-12-29,123,1989,12,29,0.8196721311475308,5238.92,-511.11,0.0,0,5089.82,50.89823222516448,415.725695,385.2743049938818
24,1990-01-31,122,1990,1,31,-0.8130081300813052,200,0.0,0.0,0,0.0,0.0,,
25,1990-02-28,121,1990,2,28,-0.8196721311475419,200,0.0,0.0,0,0.0,0.0,,
26,1990-03-30,120,1990,3,30,-0.8264462809917328,200,0.0,0.0,0,0.0,0.0,,
27,1990-04-30,119,1990,4,30,-0.8333333333333304,200,0.0,0.0,0,0.0,0.0,,
28,1990-05-31,118,1990,5,31,-0.8403361344537785,200,0.0,0.0,0,0.0,0.0,,
29,1990-06-29,117,1990,6,29,-0.8474576271186418,200,0.0,0.0,0,0.0,0.0,,
30,1990-07-31,116,1990,7,31,-0.8547008547008517,200,0.0,0.0,0,0.0,0.0,,
31,1990-08-31,115,1990,8,31,-0.8620689655172376,200,0.0,0.0,0,0.0,0.0,,
32,1990-09-28,114,1990,9,28,-0.8695652173912993,200,0.0,0.0,0,0.0,0.0,,
33,1990-10-31,113,1990,10,31,-0.8771929824561431,200,0.0,0.0,0,0.0,0.0,,
34,1990-11-30,112,1990,11,30,-0.8849557522123908,200,0.0,0.0,0,0.0,0.0,,
35,1990-12-31,111,1990,12,31,-0.8928571428571397,200,0.0,0.0,0.0,0,0,801.000000,0.0
