,Date,Value in USD,%-change,not taxed investment,not taxed Profit,Taxed Profit,Reinvestment,transaction_cost
0,"Jan 30, 1970",100,0.0,200,0.0,0,0.0,0
1,"Feb 27, 1970",101,0.010000000000000009,200,0.0,0,0.0,0
2,"Mar 31, 1970",102,0.00990099009900991,200,0.0,0,0.0,0
3,"Apr 30, 1970",103,0.009803921568627416,200,0.0,0,0.0,0
4,"May 29, 1970",104,0.009708737864077666,200,0.0,0,0.0,0
5,"Jun 30, 1970",105,0.009615384615384581,200,0.0,0,0.0,0
6,"Jul 31, 1970",106,0.00952380952380949,200,0.0,0,0.0,0
7,"Aug 31, 1970",107,0.009433962264151052,200,0.0,0,0.0,0
8,"Sep 30, 1970",108,0.009345794392523255,200,0.0,0,0.0,0
9,"Oct 30, 1970",109,0.0092592592592593,200,0.0,0,0.0,0
10,"Nov 30, 1970",110,0.00917431192660545,200,0.0,0,0.0,0
